mo	pairs_mo	BP_mo	lat_mo	lon_mo	Ntaxa_mo	method_mo	da	pairs_da	BP_da	lat_da	lon_da	Ntaxa_da	method_da	err_home_mo	err_home_da	distance	speed	area	subsistence	bearing	biome4	biome4_names	perc_b4	biome98	biome98_names	perc_b98	altitude	rugosity	npp
Abkhaz-Adyge	8	3893	43.85129	40.82694	5	BT	Abkhaz-Adyge,Abkhaz-Abaza	1	2223	43.81047	41.00361	2	BT	127	77	14.8973255500404	0.009	Eurasia	AGR	EW	10	Evegreen taiga/montane forest	66.7	4	Temperate Broadleaf & Mixed Forests 	100	1797.42	491.67	441.33
Abkhaz-Adyge	8	3893	43.85129	40.82694	5	BT	Abkhaz-Adyge,Circassian	1	1470	43.89547	40.96257	2	BT	127	77	11.9435171642438	0.005	Eurasia	AGR	EW	10	Evegreen taiga/montane forest	100	4	Temperate Broadleaf & Mixed Forests 	100	1882.12	465.34	406
Afro-Asiatic	21372	5748	15.0801	24.45547	381	BT	Afro-Asiatic,Cushitic	349	4881	10.54271	29.36688	46	BT	2114	443	734.28047107666	0.847	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	799.24	82.28	206.01
Afro-Asiatic	21372	5748	15.0801	24.45547	381	BT	Afro-Asiatic,Berber	179	1716	26.96899	10.04318	27	BT	2114	306	1995.26210534506	0.495	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	58.4	468.7	19.36	207.23
Afro-Asiatic	21372	5748	15.0801	24.45547	381	BT	Afro-Asiatic,Chadic	6735	4770	12.80371	18.10761	210	BT	2114	353	731.07261879446	0.748	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	74.7	615.63	36.47	219.4
Afro-Asiatic,Berber	179	1716	26.96899	10.04318	27	BT	Afro-Asiatic,Berber,GreaterZenatic	14	1299	29.5962	8.771115	12	BT	306	307	317.927275838318	0.762	Africa	AGR	NS	21	Desert	100	100	Sea	100	568.95	25.21	40.06
Afro-Asiatic,Berber	179	1716	26.96899	10.04318	27	BT	Afro-Asiatic,Berber,Kabyle-AtlasBerber	4	1134	29.32431	2.93969	5	BT	306	209	744.73414036993	1.28	Africa	AGR	EW	21	Desert	100	100	Sea	100	473.62	31.62	24.21
Afro-Asiatic,Berber	179	1716	26.96899	10.04318	27	BT	Afro-Asiatic,Berber,Tuareg	3	820	20.54197	8.485838	4	BT	306	360	732.808190584868	0.818	Africa	AGR	NS	21	Desert	100	100	Sea	100	563.96	25.26	23.04
Afro-Asiatic,Chadic	6735	4770	12.80371	18.10761	210	BT	Afro-Asiatic,Chadic,Biu-Mandara	932	3900	11.72253	15.5521	80	BT	353	164	302.917870370868	0.348	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	297.09	6.07	353.94
Afro-Asiatic,Cushitic	349	4881	10.54271	29.36688	46	BT	Afro-Asiatic,Cushitic,EastCushitic	222	3393	8.400483	33.10144	35	BT	443	395	474.338019942467	0.319	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	464.88	37.81	497.16
Afro-Asiatic,Cushitic	349	4881	10.54271	29.36688	46	BT	Afro-Asiatic,Cushitic,Agaw	3	1896	11.20062	35.39738	4	BT	443	124	663.304357014595	0.222	Africa	AGR	EW	13	Tropical xerophytic shrubland	85.3	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	538.77	60.57	564.34
Afro-Asiatic,Chadic	6735	4770	12.80371	18.10761	210	BT	Afro-Asiatic,Chadic,EastChadic	105	4053	11.85852	18.67628	36	BT	353	168	122.046606403129	0.17	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	350.05	12.45	378.79
Afro-Asiatic,Chadic	6735	4770	12.80371	18.10761	210	BT	Afro-Asiatic,Chadic,Masa	9	1906	12.13127	15.44745	10	BT	353	118	298.673993007822	0.104	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	296.99	6	328.88
Afro-Asiatic,Cushitic	349	4881	10.54271	29.36688	46	BT	Afro-Asiatic,Cushitic,SouthCushitic	4	2741	6.993077	32.25236	6	BT	443	105	506.835126736523	0.237	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	485.83	48.07	491.49
Afro-Asiatic,Chadic	6735	4770	12.80371	18.10761	210	BT	Afro-Asiatic,Chadic,WestChadic	714	4247	11.61822	14.68223	84	BT	353	155	395.35030124375	0.756	Africa	AGR	EW	13	Tropical xerophytic shrubland	85.7	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	95.2	294.9	5.17	385.14
Afro-Asiatic,Berber,GreaterZenatic	14	1299	29.5962	8.771115	12	BT	Afro-Asiatic,Berber,GreaterZenatic,Zenatic	18	1297	33.3489	6.06562	10	MD	307	259	490.348857060489	245.174	Africa	AGR	NS	21	Desert	100	100	Sea	100	290.53	19.15	31.41
Afro-Asiatic,Berber,GreaterZenatic	14	1299	29.5962	8.771115	12	BT	Afro-Asiatic,Berber,GreaterZenatic,Libyan-EgyptianOasesBerber	1	828	25.99226	13.39167	2	BT	307	77	606.499584871549	1.288	Africa	AGR	EW	21	Desert	100	100	Sea	100	537.83	29.29	71.38
Afro-Asiatic,Chadic,Biu-Mandara	932	3900	11.72253	15.5521	80	BT	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara	399	3712	10.7478	16.00106	50	BT	164	155	119.065379644476	0.633	Africa	AGR	NS	13	Tropical xerophytic shrubland	92.9	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	315.71	10.39	456
Afro-Asiatic,Chadic,Biu-Mandara	932	3900	11.72253	15.5521	80	BT	Afro-Asiatic,Chadic,Biu-Mandara,Hurza	1	1491	12.65792	15.42181	2	BT	164	77	105.087758880671	0.044	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	306.25	5.86	463.62
Afro-Asiatic,Cushitic,Agaw	3	1896	11.20062	35.39738	4	BT	Afro-Asiatic,Cushitic,Agaw,Northern-Eastern-WesternAgaw	2	922	12.41107	38.82517	3	BT	124	155	397.060894188476	0.408	Africa	AGR	EW	13	Tropical xerophytic shrubland	42.9	1	Tropical & Subtropical Moist Broadleaf Forests 	45.2	1708.15	308.53	539.81
Afro-Asiatic,Chadic,EastChadic	105	4053	11.85852	18.67628	36	BT	Afro-Asiatic,Chadic,EastChadic,EastChadicB	54	3645	12.20696	19.37657	22	BT	168	88	85.542461439425	0.21	Africa	AGR	EW	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	505.8	42.12	575.09
Afro-Asiatic,Chadic,EastChadic	105	4053	11.85852	18.67628	36	BT	Afro-Asiatic,Chadic,EastChadic,EastChadicA	14	3133	13.0755	18.35132	14	BT	168	111	140.002294550879	0.152	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	508.61	56.14	575
Afro-Asiatic,Cushitic,EastCushitic	222	3393	8.400483	33.10144	35	BT	Afro-Asiatic,Cushitic,EastCushitic,HighlandEastCushitic	6	1658	8.374471	35.03397	7	BT	395	112	212.84677595613	0.123	Africa	AGR	EW	12	Tropical savanna	95.7	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	73.9	583.89	119.19	772.39
Afro-Asiatic,Cushitic,EastCushitic	222	3393	8.400483	33.10144	35	BT	Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic	42	3253	8.30455	33.35337	26	BT	395	409	29.7313854946582	0.212	Africa	AGR	EW	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	60	407.37	2.2	672
Afro-Asiatic,Chadic,Masa	9	1906	12.13127	15.44745	10	BT	Afro-Asiatic,Chadic,Masa,SouthMasa	2	936	9.092284	14.04017	4	BT	118	91	371.683966058082	0.383	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	84.6	291.69	1.89	299.33
Afro-Asiatic,Chadic,Masa	9	1906	12.13127	15.44745	10	BT	Afro-Asiatic,Chadic,Masa,NorthMasa	2	1390	11.89327	15.31652	6	BT	118	89	30.0859563959035	0.058	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	294.22	2.02	338
Afro-Asiatic,Semitic,WestSemitic	713	3465	19.62964	34.13624	93	BT	Afro-Asiatic,Semitic,WestSemitic,Ethiosemitic	23	2485	16.38853	36.87859	16	BT	1655	199	463.066615228895	0.473	Africa	AGR	NS	21	Desert	100	13	Deserts & Xeric Shrublands 	89.6	578.02	82.46	111.79
Afro-Asiatic,Semitic,WestSemitic	713	3465	19.62964	34.13624	93	BT	Afro-Asiatic,Semitic,WestSemitic,CentralSemitic	288	2622	24.08081	36.64599	71	BT	1655	1336	559.204037487805	0.663	Africa	AGR	NS	21	Desert	100	13	Deserts & Xeric Shrublands 	96.6	569.07	69.91	107.12
Afro-Asiatic,Semitic,WestSemitic	713	3465	19.62964	34.13624	93	BT	Afro-Asiatic,Semitic,WestSemitic,ModernSouthArabian	6	1668	18.419	44.2839	6	BT	1655	138	1076.22778186749	0.599	Africa	AGR	EW	NA	Sea	100	13	Deserts & Xeric Shrublands 	60	NA	NA	NA
Afro-Asiatic,Chadic,WestChadic	714	4247	11.61822	14.68223	84	BT	Afro-Asiatic,Chadic,WestChadic,WestChadicA	239	3713	9.84584	12.2983	46	BT	155	192	326.962438568875	0.612	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	324.99	10.19	447.06
Afro-Asiatic,Berber,Kabyle-AtlasBerber,AtlasBerber	5	1156	29.70627	0.353144	4	BT	Afro-Asiatic,Berber,Kabyle-AtlasBerber,AtlasBerber,NorthwesternMoroccanBerber	1	900	31.43197	-2.439762	2	BT	204	77	329.468303378478	1.287	Africa	AGR	EW	21	Desert	100	13	Deserts & Xeric Shrublands 	100	458.34	39.17	71.69
Afro-Asiatic,Berber,GreaterZenatic,Zenatic	18	1297	33.3489	6.06562	10	MD	Afro-Asiatic,Berber,GreaterZenatic,Zenatic,NorthernSaharanOasisBerber	3	993	30.0356	9.075133	5	BT	259	187	466.095345930994	1.533	Africa	AGR	NS	21	Desert	100	100	Sea	71.4	72.82	18.39	151.27
Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara	172	4047	11.47884	15.04324	27	BT	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Bataic	15	3195	10.5299	14.32662	12	BT	117	104	131.494033998192	0.154	Africa	AGR	NS	13	Tropical xerophytic shrubland	93.3	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	314.12	15.44	470.27
Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara	399	3712	10.7478	16.00106	50	BT	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Higic	3	1929	10.75932	15.62924	5	BT	155	82	40.6841546473066	0.023	Africa	AGR	EW	13	Tropical xerophytic shrubland	83.3	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	324.68	3.85	612.67
Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara	172	4047	11.47884	15.04324	27	BT	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Teraic	6	2589	10.87324	14.05593	5	BT	117	101	127.162793375246	0.087	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	319.69	24.22	434.93
Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara	399	3712	10.7478	16.00106	50	BT	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Kotoko-Buduma	6	3235	12.94899	14.56643	10	BT	155	88	290.634595128077	0.609	Africa	AGR	NS	13	Tropical xerophytic shrubland	96.8	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	322.05	6.93	542.77
Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara	399	3712	10.7478	16.00106	50	BT	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Margi-Mandara-Mofu	176	3699	10.94251	15.86486	25	BT	155	104	26.2972532215037	2.023	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	324.88	3.81	657.2
Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara	172	4047	11.47884	15.04324	27	BT	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Dabaic	9	1650	10.0763	15.89668	6	BT	117	79	181.896517495794	0.076	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	314.09	4.12	497.5
Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara	172	4047	11.47884	15.04324	27	BT	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Matakam	2	1972	11.88545	15.44376	3	BT	117	84	62.8901233658874	0.03	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	306.79	2.79	511
Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara	399	3712	10.7478	16.00106	50	BT	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Lamang-Hdi	1	947	12.06406	11.19454	3	BT	155	79	544.556691782991	0.197	Africa	AGR	EW	13	Tropical xerophytic shrubland	87.5	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	443.63	73.81	519.93
