family	area	subsistence
Abinomn	Papunesia	HG-SAGO
Abkhaz-Adyge	Eurasia	AGR
Abun	Papunesia	AGR
Adai	North America	AGR
Aewa	South America	NA
Afro-Asiatic	Africa	AGR
Aikanã	South America	AGR
Ainu	Eurasia	HG
Algic	North America	HG
Alsea-Yaquina	North America	HG
Ambakich	Papunesia	HG-SAGO
Amto-Musan	Papunesia	HG-SAGO
Andaqui	South America	AGR
Andoque	South America	AGR
Anem	Papunesia	AGR
Angan	Papunesia	AGR
Anim	Papunesia	HG-SED, HG-SAGO
ApMa	Papunesia	HG-SAGO
Arafundi	Papunesia	HG-SAGO
Araucanian	South America	AGR
Arawakan	South America	AGR
Arawan	South America	AGR, HG
Arutani	South America	HG
Asabano	Papunesia	AGR
Atacame	South America	AGR
Atakapa	North America	HG
Athabaskan-Eyak-Tlingit	North America	HG
Atlantic-Congo	Africa	AGR
Austroasiatic	Eurasia	AGR
Austronesian	Papunesia	AGR
Aymaran	South America	AGR
Baibai-Fas	Papunesia	HG-SAGO
Baining	Papunesia	AGR
Bangime	Africa	AGR
Barbacoan	South America	AGR
Basque	Eurasia	AGR
Bayono-Awbono	Papunesia	HG-SAGO
Beothuk	North America	HG
Berta	Africa	AGR
Betoi-Jirara	South America	HG
Bilua	Papunesia	AGR
BlueNileMao	Africa	AGR
Bogaya	Papunesia	AGR
Bogia	Papunesia	AGR
Boran	South America	AGR
Border	Papunesia	HG-SAGO
Bororoan	South America	HG
Bosavi	Papunesia	HG-SAGO
BulakaRiver	Papunesia	HG-SAGO
Bunaban	Australia	HG
Burmeso	Papunesia	HG-SAGO
Burushaski	Eurasia	AGR
Caddoan	North America	HG, AGR
Cahuapanan	South America	AGR
Camsá	South America	AGR
Candoshi-Shapra	South America	AGR
Canichana	South America	HG
Cariban	South America	HG
Cayubaba	South America	AGR
Cayuse	North America	HG
CentralSudanic	Africa	AGR
Chapacuran	South America	AGR
Charruan	South America	HG
Chibchan	South America	AGR
Chicham	South America	AGR
Chimakuan	North America	HG
Chimariko	North America	HG
Chinookan	North America	HG
Chiquitano	South America	AGR
Chitimacha	North America	AGR
Chocoan	South America	AGR
Chonan	South America	HG
Chono	South America	HG
Chukotko-Kamchatkan	Eurasia	HG
Chumashan	North America	HG-SED
Coahuilteco	North America	HG
Cochimi-Yuman	North America	HG
Cofán	South America	HG, AGR
Comecrudan	North America	HG
Coosan	North America	HG
Cotoname	North America	HG
Cuitlatec	North America	AGR
Culli	South America	AGR
Dagan	Papunesia	HG-SED
Dajuic	Africa	AGR
Damal	Papunesia	HG
Dem	Papunesia	AGR
Dibiyaso	Papunesia	HG-SED
Dizoid	Africa	AGR
Dogon	Africa	AGR
Doso-Turumsa	Papunesia	HG-SED
Dravidian	Eurasia	AGR
Duna	Papunesia	AGR
EastBird'sHead	Papunesia	AGR
EasternDaly	Australia	HG
EasternJebel	Africa	AGR
EasternTrans-Fly	Papunesia	HG-SED
EastKutubu	Papunesia	HG-SAGO
EastStrickland	Papunesia	HG-SAGO
Elamite	Eurasia	AGR
Eleman	Papunesia	HG-SED
Elseng	Papunesia	HG-SAGO
Eskimo-Aleut	North America	HG
Esselen	North America	HG
Etruscan	Eurasia	AGR
Fasu	Papunesia	HG-SAGO
Fulniô	South America	AGR
Furan	Africa	AGR
Gaagudju	Australia	HG
Garrwan	Australia	HG
GeelvinkBay	Papunesia	HG-SAGO
Giimbiyu	Australia	HG
Goilalan	Papunesia	AGR
GreatAndamanese	Eurasia	HG
GreaterKwerba	Papunesia	HG-SED, HG-SAGO
Guachi	South America	HG
Guahiboan	South America	HG
Guaicurian	North America	HG
Guaicuruan	South America	HG
Guamo	South America	HG
Guató	South America	HG
Gule	Africa	AGR
Gumuz	Africa	AGR
Gunwinyguan	Australia	HG
Guriaso	Papunesia	HG-SAGO
Hadza	Africa	HG
Haida	North America	HG
Harakmbut	South America	AGR
