names	wls_fam	wls_gen	e	hh	lat	lon	pop	wcode	iso	I	you	we	this	that	who	what	not	all	many	one	two	big	long	small	woman	man	person	fish	bird	dog	louse	tree	seed	leaf	root	bark	skin	flesh	blood	bone	grease	egg	horn	tail	feather	hair	head	ear	eye	nose	mouth	tooth	tongue	claw	foot	knee	hand	belly	neck	breast	heart	liver	drink	eat	bite	see	hear	know	sleep	die	kill	swim	fly	walk	come	lie	sit	stand	give	say	sun	moon	star	water	rain	stone	sand	earth	cloud	smoke	fire	ash	burn	path	mountain	red	green	yellow	white	black	night	hot	cold	full	new	good	round	dry	name
BEJA_2	AA	BEJA	Afro-Asiatic,Cushitic,North	Afro-Asiatic,Cushitic	18.00	36.00	2498000	bej	bej	ani	baruk, batuk	hanin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	gar, gal	malo	XXX	XXX	XXX	XXX	XXX	ha	asa, ase	XXX	yas	tat	Sed"ar	XXX	baya	XXX	XXX	ada	XXX	boy	mi	XXX	XXX	da7	XXX	XXX	XXX	XXX	angwil	lili	genut	XXX	kos	midala, mida	XXX	XXX	gun, mb~a	ay	XXX	XXX	nug, nugwe	XXX	se	gu7	XXX	XXX	erh	masuw	XXX	XXX	yati	XXX	XXX	XXX	XXX	yit, i	XXX	XXX	XXX	XXX	XXX	yin, in	XXX	hayuk	yam	XXX	awe	XXX	XXX	XXX	XXX	n7a	XXX	XXX	lagi	reba	XXX	XXX	XXX	XXX	XXX	hawad	XXX	XXX	atab	ga	XXX	XXX	XXX	sim, sum
AWJILAH	AA	BERBER	Afro-Asiatic,Berber,Eastern,Awjila-Sokna	Afro-Asiatic,Berber	29.00	21.00	2500		auj	n3k	ku	n3k3ni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	iwinan	XXX	XXX	XXX	XXX	XXX	XXX	ar3gaz	XXX	XXX	gzin	tw3likt	XXX	XXX	t3l3biSt	XXX	XXX	glim	XXX	dimmen	axast	XXX	XXX	iSk	XXX	XXX	XXX	XXX	is3m	tit	tk3nzirt	XXX	asin	il3s	XXX	XXX	afud	afus	XXX	XXX	XXX	XXX	tisi	Su	XXX	XXX	ag3l	3s3l	XXX	XXX	mut	XXX	XXX	XXX	XXX	uS	XXX	XXX	XXX	XXX	XXX	tafut	XXX	XXX	imin	XXX	az3rg	XXX	XXX	XXX	XXX	awif	XXX	XXX	t3barut	XXX	XXX	XXX	XXX	XXX	XXX	ab3t	XXX	XXX	3tk3r	atrar	XXX	XXX	XXX	XXX
CHAOUI	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Shawiya	Afro-Asiatic,Berber,GreaterZenatic,Zenatic	35.00	7.00	2300000	bch	shy	XXX	kek	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yT	sn	XXX	XXX	XXX	XXX	XXX	argaz	aslem	XXX	aXerzul, aidi	tiket	tasZirt	XXX	taferkit	XXX	XXX	aglim	XXX	XXX	iXes	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ameTi	XXX	Xefu	XXX	tiXmest	tu, tatut	XXX	XXX	fud	fus	XXX	XXX	tabezult	XXX	tsa	sew, tisi	XXX	XXX	tmuqli	sel	XXX	XXX	imt	XXX	XXX	XXX	XXX	as, yusid, tsas	XXX	XXX	XXX	XXX	XXX	tafukt	XXX	itri	XXX	XXX	zrut	XXX	XXX	XXX	XXX	fefu	XXX	XXX	amrir	adrar	XXX	XXX	XXX	XXX	XXX	id	XXX	XXX	heyen	aZdid	XXX	XXX	XXX	ism
CHENOUA	AA	BERBER	Afro-Asiatic,Berber,Northern	Afro-Asiatic,Berber,GreaterZenatic,Zenatic	36.59	2.20	76300		cnu	nec, necaya, necayen	sekk, semm	necnin, neSnin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ijen, 8ist	8nayen	XXX	XXX	XXX	XXX	XXX	ula 8ijen, had	aslem	XXX	ai8i	8issi8	sejjer8	XXX	luerq	XXX	XXX	ilem	XXX	i8ammen	ixes	XXX	XXX	iS	XXX	XXX	XXX	XXX	8imjet	8et	8inze8	XXX	tigmest	iles	XXX	XXX	fud	fus	XXX	XXX	a8mer, ifef	XXX	Ca	su	XXX	XXX	zer	sel	XXX	XXX	emme8	XXX	XXX	XXX	XXX	ased	XXX	XXX	XXX	XXX	XXX	8fui8	XXX	i8ri	aman	XXX	8auqi8	XXX	XXX	XXX	XXX	8imsi	XXX	XXX	abri8, lemrire8	a8rar	XXX	XXX	XXX	XXX	XXX	insu, nsin	XXX	XXX	eCar	XXX	XXX	XXX	XXX	liSem
FOQAHA	AA	BERBER	Afro-Asiatic,Berber,Eastern,Awjila-Sokna	Afro-Asiatic,Berber,GreaterZenatic,Libyan-EgyptianOasesBerber	27.83	16.35	-2016		swn	n3ki	S3ki	n3keni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ig3n	s3n	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	edi	tirSit	XXX	XXX	t3frit	XXX	XXX	il3m	XXX	idam3n	ix3s	XXX	XXX	%3lqurn	XXX	XXX	XXX	XXX	tm3zuxt	tit	tinz3rt	XXX	isin	il3s	XXX	XXX	afud	afus	XXX	XXX	XXX	XXX	tasan	asu	XXX	XXX	az3r	as3l	XXX	XXX	3m3t	XXX	XXX	XXX	XXX	us	XXX	XXX	XXX	XXX	XXX	tafukt	XXX	iri	aman	XXX	txaxit	XXX	XXX	XXX	XXX	temsi	XXX	XXX	tabarut	XXX	XXX	XXX	XXX	XXX	XXX	ayad	XXX	XXX	kar	trar	XXX	XXX	XXX	XXX
GHADAMES_2	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,East	Afro-Asiatic,Berber	30.13	9.50	15700		gha	neS	Seg	nekenin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yun	s3n	XXX	XXX	XXX	XXX	XXX	iman	ulisma	XXX	idi	tal3kt	temdikt	XXX	t3fra	XXX	XXX	il3m	XXX	demen	x3s	XXX	XXX	aSkaw	XXX	XXX	XXX	XXX	is3m	aw3l	t3nzart	XXX	asin	il3s	XXX	XXX	uf3d	uf3s	XXX	XXX	admaren	XXX	tusa	s3w	XXX	XXX	el3m, izelem	3sl	XXX	XXX	3m3t	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	isi	XXX	iri	aman	XXX	ir3g	XXX	XXX	XXX	XXX	ufa	XXX	XXX	abrid	adurar	XXX	XXX	XXX	XXX	XXX	ibed	XXX	XXX	etkur	XXX	XXX	XXX	XXX	ism
GHOMARA	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Ghomara	Afro-Asiatic,Berber,Kabyle-AtlasBerber,AtlasBerber,NorthwesternMoroccanBerber	35.31	-4.96	10000		gho	n3k	k3j	nucna	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yan	%zuZ	XXX	XXX	XXX	XXX	XXX	%insan	%amal3h	XXX	ayda	XXX	tagig3t	XXX	afraw	XXX	XXX	%lZ3ld	XXX	a83m	ax3s	XXX	XXX	as3kaw	XXX	XXX	XXX	XXX	am3zux	tit	%tax3nfurt	XXX	asan	il3s	XXX	XXX	afud	XXX	XXX	XXX	%sd3r	XXX	%l3fwad	su	XXX	XXX	zar	s3l	XXX	XXX	mu8	XXX	XXX	XXX	XXX	du	XXX	XXX	XXX	XXX	XXX	tafuct	XXX	%n3Zma	aman	XXX	azru	XXX	XXX	XXX	XXX	%l7afya	XXX	XXX	azr3f	adrar	XXX	XXX	XXX	XXX	XXX	%lil	XXX	XXX	kar	%Zdid	XXX	XXX	XXX	ism
KABYLE_GREATER_KABYLIA_AT_MANGELLAT	AA	BERBER	Afro-Asiatic,Berber,Northern,Kabyle	Afro-Asiatic,Berber,Kabyle-AtlasBerber	36.05	5.00	6819200	kbl	kab	n3k	c3C	n3kw~ni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yiw3n	sin	XXX	XXX	XXX	XXX	XXX	%lx3lq	asl3m, lhu8	XXX	ay8i	8ilkit	%t3Zr7a	XXX	if3r	XXX	XXX	ajw~lim	XXX	i8am3n	ix3s	XXX	XXX	iS3w	XXX	XXX	XXX	XXX	am3z7ux	8it7	8inz3r8	XXX	8uxm3s8	il3s	XXX	XXX	afu8	XXX	XXX	XXX	8abbuS8	XXX	8asa	s3w	XXX	XXX	z73r, wali	s3l	XXX	XXX	m38	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	it7iZ	XXX	i8ri	aman	XXX	az7ru	XXX	XXX	XXX	XXX	8im3s	XXX	XXX	abri8	a8rar	XXX	XXX	XXX	XXX	XXX	i87	XXX	XXX	Car7	%aZ8i8	XXX	XXX	XXX	is3m
NAFUSI	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,East	Afro-Asiatic,Berber	32.00	12.00	283000		jbn	n3C	S3k	n3C3n	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ujun	s3n	XXX	XXX	XXX	XXX	XXX	%bnad3m	%3lhut	XXX	yudi	tilSit	%l3sZar	XXX	%3lw3rq	XXX	XXX	uglim	XXX	id3m3n	x3s	XXX	XXX	aSaw	XXX	XXX	XXX	XXX	tm3jit	tit	tinz3rt	XXX	sin	il3s	XXX	XXX	uf3d	uf3s	XXX	XXX	XXX	XXX	tusa	3su	XXX	XXX	%3Sb3h	3s3l	XXX	XXX	3m3t	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	tufut	XXX	tri	aman	XXX	dxax	XXX	XXX	XXX	XXX	twaft	XXX	XXX	brid	drar	XXX	XXX	XXX	XXX	XXX	it	XXX	XXX	3Car	%aZdid	XXX	XXX	XXX	%l3s3m
OUARGLA_BERBER	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Mzab-Wargla	Afro-Asiatic,Berber,GreaterZenatic,Zenatic,NorthernSaharanOasisBerber,Ouargli-OuedRigh	31.92	5.33	20000	bou	oua	n3SS	S3kk	n3Snin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	igg3n	s3n	XXX	XXX	XXX	XXX	XXX	takrumt	%lXut	XXX	aydi	tillit	%SS3Z3rt	XXX	tifrit	XXX	XXX	aglim	XXX	idamm3n	iX3s	XXX	XXX	aSSaw	XXX	XXX	XXX	XXX	tam3ZZit	tit7t7	tinz3rt	XXX	tiXm3st	il3s	XXX	XXX	fud	fus	XXX	XXX	iff	XXX	ca	s3w	XXX	XXX	z73r	s3ll	XXX	XXX	mm3t	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	tfit	XXX	itri	aman	XXX	adXaX	XXX	XXX	XXX	XXX	timsi	XXX	XXX	abrid	ag3rgub	XXX	XXX	XXX	XXX	XXX	id7	XXX	XXX	SSar7	%aZdid	XXX	XXX	XXX	is3m
